playerID,nameFirst,nameLast
bassljo01,johnny,bassler
bassno01,norm,bass
bassra01,randy,bass
bastaan01,antonio,bastardo
bastich01,charlie,bastian
batchem01,emil,batch
batchjo01,joe,batchelder
batchri01,rich,batchelor
batemjo01,john,bateman
batesaa01,aaron,bates
batesbi01,billy,bates
batesbu01,bud,bates
batesch01,charlie,bates
batesde01,del,bates
batesdi01,dick,bates
batesfr01,frank,bates
batesja01,jason,bates
batesjo01,john,bates
batesjo02,johnny,bates
batesra01,ray,bates
bathebi01,bill,bathe
batiske01,kevin,batiste
batiski01,kim,batiste
batismi01,miguel,batista
batisra01,rafael,batista
batisto01,tony,batista
batscbi01,bill,batsch
battala01,larry,battam
batteea01,earl,battey
battege01,george,batten
battijo01,joe,battin
battlal01,allen,battle
battlho01,howard,battle
battlji01,jim,battle
battoch01,chris,batton
battsma01,matt,batts
baueral01,al,bauer
bauerha01,hank,bauer
bauerja01,jake,bauers
bauerlo01,lou,bauer
bauerri01,rick,bauer
bauerru01,russ,bauers
bauertr01,trevor,bauer
baughju01,justin,baughman
baumabu01,buddy,baumann
baumafr01,frank,baumann
baumapa01,paddy,baumann
baumeji01,jim,baumer
baumgge01,george,baumgardner
baumgha01,harry,baumgartner
baumgjo01,john,baumgartner
baumgro01,ross,baumgarten
baumgst01,stan,baumgartner
baumhfr01,frank,baumholtz
bausege01,george,bausewine
bautaed01,ed,bauta
bautida01,danny,bautista
bautide01,denny,bautista
bautige01,gerson,bautista
bautijo02,jose,bautista
bautira01,rafael,bautista
baxesji01,jim,baxes
baxesmi01,mike,baxes
baxtemi01,mike,baxter
baxtemo01,moose,baxter
bayha01,harry,bay
bayja01,jason,bay
bayledi01,dick,bayless
baylijo01,jonah,bayliss
baylodo01,don,baylor
baynebi01,bill,bayne
bazaryo01,yorman,bazardo
beachbr01,brandon,beachy
beachja01,jack,beach
beallbo01,bob,beall
bealljo01,johnny,beall
beallwa01,walter,beall
bealsto01,tommy,beals
beamal01,alex,beam
beamer01,ernie,beam
beamoch02,charlie,beamon
beamotr01,trey,beamon
beamtj01,tj,beam
beanbe01,belve,bean
beanbi01,bill,bean
beanco01,colter,bean
beanebi01,billy,beane
beanjo01,joe,bean
beardda01,dave,beard
beardge01,gene,bearden
beardmi01,mike,beard
beardol01,ollie,beard
beardra01,ralph,beard
beardte01,ted,beard
bearega01,gary,beare
bearnla01,larry,bearnarth
bearske01,kevin,bearse
beaslch01,chris,beasley
beaslle01,lew,beasley
beatied01,ed,beatin
beatlda01,dave,beadle
beatope01,pedro,beato
beattbl01,blaine,beatty
beattde01,desmond,beatty
beattji01,jim,beattie
beaucji01,jim,beauchamp
beaumgi01,ginger,beaumont
beavabl01,blake,beavan
beaveed01,edward,beavens
beazljo01,johnny,beazley
becanbu01,buck,becannon
bechlst01,steve,bechler
bechtge01,george,bechtel
beckbo01,boom-boom,beck
beckch01,chad,beck
beckch02,chris,beck
beckcl01,clyde,beck
beckebe01,beals,becker
beckebo01,bob,becker
beckech01,charlie,becker
beckegl01,glenn,beckert
beckehe01,heinie,beckendorf
beckehe02,heinz,becker
beckejo01,joe,becker
beckejo02,josh,beckett
beckema01,marty,becker
becker01,erve,beck
beckeri01,rich,becker
beckero01,robbie,beckett
beckfr01,frank,beck
beckfr02,fred,beck
beckge01,george,beck
beckhgo01,gordon,beckham
beckhti01,tim,beckham
becklja01,jake,beckley
beckmbi01,bill,beckmann
beckmji01,jim,beckman
beckri01,rich,beck
beckro01,rod,beck
beckwjo01,joe,beckwith
beckzi01,zinn,beck
becquju01,julio,becquer
bedarer01,erik,bedard
bedelho01,howie,bedell
bedfoge01,gene,bedford
bedgoph01,phil,bedgood
bediehu01,hugh,bedient
bednaan01,andy,bednar
bedroca01,cam,bedrosian
bedrost01,steve,bedrosian
beebefr01,fred,beebe
beeched01,ed,beecher
beeched02,ed,biecher
beechma01,matt,beech
beechro01,roy,beecher
beedety01,tyler,beede
beeksja01,jalen,beeks
beeleda01,dallas,beeler
beelejo01,jodie,beeler
beenean01,andy,beene
beenefr01,fred,beene
beerscl01,clarence,beers
beggsjo01,joe,beggs
begleed01,ed,bagley
beglege01,gene,bagley
begleji01,jim,begley
behanpe01,petie,behan
behelst01,steve,behel
behenri01,rick,behenna
behneme01,mel,behney
behrmha01,hank,behrman
beimejo01,joe,beimel
beirnke01,kevin,beirne
bejmaol01,ollie,bejma
belanma01,mark,belanger
belarwa01,wayne,belardi
belchke01,kevin,belcher
belchti01,tim,belcher
beldeir01,ira,belden
belfimi01,mike,belfiore
belinbo01,bo,belinsky
belinst01,stan,belinda
belisma01,matt,belisle
belisro01,ronald,belisario
belitto01,todd,belitz
belivje01,jeff,beliveau
belkti01,tim,belk
bellaan01,andrew,bellatti
